ID commande,Nom du fabricant,Product Category Default,Article,Code postal (Facture),Ville (Facture)
1743, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64250.0,SAINT PALAIS
1743, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64250.0,SAINT PALAIS
1743, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64250.0,SAINT PALAIS
1743, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64250.0,SAINT PALAIS
1743,FERME BELAZKABIETA,ÉPICERIE,BIZIGAI Piment d'Espelette AOP (50 gr),64250.0,SAINT PALAIS
1743, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64250.0,SAINT PALAIS
1750, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64240.0,HASPARREN
1750, FERME ESNEKIAK,CRÈMERIE,"Fromage blanc de vache nature,lisse bio (500g).",64240.0,HASPARREN
1750, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64240.0,HASPARREN
1750, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,HASPARREN
1750, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64240.0,HASPARREN
1750, FERME AROZTEGIA,FRUITS & LÉGUMES,courge potimarron ou butternut (1kg),64240.0,HASPARREN
1750, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64240.0,HASPARREN
1750, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,HASPARREN
1750, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64240.0,HASPARREN
1750,FERME ALASTA,ÉPICERIE,Confiture de pêches (360g),64240.0,HASPARREN
1750, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,HASPARREN
1751, FERME BIXARTEA,ÉPICERIE,compote de pommes 750g,64240.0,AYHERRE
1751, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,AYHERRE
1751, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64240.0,AYHERRE
1751, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,AYHERRE
1751, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,AYHERRE
1752, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,AYHERRE
1752, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64240.0,AYHERRE
1752, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64240.0,AYHERRE
1752,FERME ALASTA,ÉPICERIE,Coulis de Mûres (320g),64240.0,AYHERRE
1752, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,AYHERRE
1752, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,AYHERRE
1752,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",64240.0,AYHERRE
1752, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64240.0,AYHERRE
1752, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,AYHERRE
1753, FERME ESNEKIAK,CRÈMERIE,Fromage blanc de vache nature campagne bio (500g).,64240.0,HASPARREN
1753, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64240.0,HASPARREN
1753, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64240.0,HASPARREN
1753, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64240.0,HASPARREN
1753, FERME AROZTEGIA,FRUITS & LÉGUMES,Mache AB (200gr),64240.0,HASPARREN
1754, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,hasparren
1754, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64240.0,hasparren
1754, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,hasparren
1754, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,hasparren
1754, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,hasparren
1754, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64240.0,hasparren
1755, FERME AROZTEGIA,FRUITS & LÉGUMES,chicoree scarole,64780.0,BIDARRAY
1755, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64780.0,BIDARRAY
1755, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64780.0,BIDARRAY
1755, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64780.0,BIDARRAY
1755, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64780.0,BIDARRAY
1755, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64780.0,BIDARRAY
1755, FERME AROZTEGIA,FRUITS & LÉGUMES,courge potimarron ou butternut (1kg),64780.0,BIDARRAY
1755, FERME AROZTEGIA,FRUITS & LÉGUMES,pomme de terre vapeur (2kg),64780.0,BIDARRAY
1755, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64780.0,BIDARRAY
1755, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64780.0,BIDARRAY
1755, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64780.0,BIDARRAY
1755, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64780.0,BIDARRAY
1755, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64780.0,BIDARRAY
1756, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64480.0,ustaritz
1756, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64480.0,ustaritz
1756, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64480.0,ustaritz
1756, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64480.0,ustaritz
1756, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64480.0,ustaritz
1756, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64480.0,ustaritz
1756, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64480.0,ustaritz
1756, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64480.0,ustaritz
1757, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,hasparren
1757, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,hasparren
1757, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,hasparren
1757, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64240.0,hasparren
1757, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année (1kg),64240.0,hasparren
1757, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64240.0,hasparren
1757, FERME IXURIBEHEREA,ÉPICERIE,Jus de pommes (1L),64240.0,hasparren
1758, FERME BIXARTEA,CRÈMERIE,Breuil (1kg).,64240.0,hasparren
1758, FERME ESNEKIAK,CRÈMERIE,Lait de vache entier pasteurise bio (1L).,64240.0,hasparren
1758, FERME IXURIBEHEREA,ÉPICERIE,Jus de pommes (1L),64240.0,hasparren
1758, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,hasparren
1758, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64240.0,hasparren
1758, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,hasparren
1758, FERME BIXARTEA,CRÈMERIE,Mamia (x4).,64240.0,hasparren
1758, FERME AROZTEGIA,FRUITS & LÉGUMES,chou de chine,64240.0,hasparren
1758, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,hasparren
1758, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64240.0,hasparren
1759, FERME ESNEKIAK,CRÈMERIE,Fromage blanc de vache nature campagne bio (500g).,64250.0,cambo les bains
1759, FERME BIXARTEA,CRÈMERIE,Mamia (x4).,64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,courge potimarron ou butternut (1kg),64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,Mache AB (200gr),64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64250.0,cambo les bains
1759, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64250.0,cambo les bains
1759, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64250.0,cambo les bains
1760, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64250.0,Cambo les bains
1760, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64250.0,Cambo les bains
1760, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64250.0,Cambo les bains
1760, FERME AROZTEGIA,FRUITS & LÉGUMES,chou de chine,64250.0,Cambo les bains
1760, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64250.0,Cambo les bains
1760, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64250.0,Cambo les bains
1760, FERME IXURIBEHEREA,ÉPICERIE,Jus de pommes (1L),64250.0,Cambo les bains
1760,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petite pintade fermière 1,250 kg (+/- 100gr) AB.",64250.0,Cambo les bains
1760,FERME ALASTA,ÉPICERIE,Confiture de Figue (360g),64250.0,Cambo les bains
1761, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64480.0,Jatxou
1761, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64480.0,Jatxou
1761, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64480.0,Jatxou
1761, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64480.0,Jatxou
1761, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64480.0,Jatxou
1761, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64480.0,Jatxou
1761,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petite pintade fermière 1,250 kg (+/- 100gr) AB.",64480.0,Jatxou
1762, FERME AROZTEGIA,FRUITS & LÉGUMES,"Cagette ""surprise""",64250.0,CAMBO LES BAINS
1762, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64250.0,CAMBO LES BAINS
1763, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,Hasparren
1763, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,Hasparren
1763, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,Hasparren
1764, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64250.0,Zuraide
1764, FERME ESNEKIAK,CRÈMERIE,"Fromage blanc de vache nature,lisse bio (500g).",64250.0,Zuraide
1764, FERME AROZTEGIA,FRUITS & LÉGUMES,"Cagette ""surprise""",64250.0,Zuraide
1764,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petite pintade fermière 1,250 kg (+/- 100gr) AB.",64250.0,Zuraide
1765, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64250.0,Cambo 
1765, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64250.0,Cambo 
1765, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64250.0,Cambo 
1765, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64250.0,Cambo 
1765, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64250.0,Cambo 
1765, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64250.0,Cambo 
1765,FERME ALASTA,ÉPICERIE,Confiture de Figue (360g),64250.0,Cambo 
1765,FERME ALASTA,ÉPICERIE,Confiture de pêches (360g),64250.0,Cambo 
1765, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64250.0,Cambo 
1766, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64480.0,jatxou
1766, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64480.0,jatxou
1766, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64480.0,jatxou
1767, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64240.0,AIHERRA
1767, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,AIHERRA
1767, FERME AROZTEGIA,FRUITS & LÉGUMES,Mache AB (200gr),64240.0,AIHERRA
1767, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,AIHERRA
1767, FERME AROZTEGIA,FRUITS & LÉGUMES,pomme de terre vapeur (2kg),64240.0,AIHERRA
1767, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64240.0,AIHERRA
1767, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,AIHERRA
1767, FERME BIXARTEA,FROMAGES,Fromage Pérail de brebis.,64240.0,AIHERRA
1768, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64640.0,Saint-Esteben 
1768,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",64640.0,Saint-Esteben 
1768, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64640.0,Saint-Esteben 
1769, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64240.0,Hasparren
1769, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,Hasparren
1769, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64240.0,Hasparren
1769, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,Hasparren
1769, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64240.0,Hasparren
1769, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,Hasparren
1769, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,Hasparren
1769, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,Hasparren
1769, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,Hasparren
1769, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64240.0,Hasparren
1769,FERME ALASTA,ÉPICERIE,Coulis de Mûres (320g),64240.0,Hasparren
1770, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64100.0,bayonne
1770, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64100.0,bayonne
1770, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année (1kg),64100.0,bayonne
1770, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64100.0,bayonne
1770,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",64100.0,bayonne
1770, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64100.0,bayonne
1770, FERME AROZTEGIA,FRUITS & LÉGUMES,chou frise ou cabus (600gr a 800gr),64100.0,bayonne
1770, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64100.0,bayonne
1770, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64100.0,bayonne
1771, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64990.0,SAINT PIERRE D'IRUBE
1771, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64990.0,SAINT PIERRE D'IRUBE
1771, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64990.0,SAINT PIERRE D'IRUBE
1771, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64990.0,SAINT PIERRE D'IRUBE
1771, FERME ESNEKIAK,VIANDES,Axoa de veau bio  (750g),64990.0,SAINT PIERRE D'IRUBE
1772, FERME BIXARTEA,CRÈMERIE,Breuil (1kg).,64240.0,HASPARREN
1772, FERME BIXARTEA,CRÈMERIE,Mamia (x4).,64240.0,HASPARREN
1772, FERME ESNEKIAK,CRÈMERIE,Lait de vache entier pasteurise bio (1L).,64240.0,HASPARREN
1772, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64240.0,HASPARREN
1772, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64240.0,HASPARREN
1772, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,HASPARREN
1772, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,HASPARREN
1773, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,ayherre
1773, FERME AROZTEGIA,FRUITS & LÉGUMES,chicoree scarole,64240.0,ayherre
1773, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,ayherre
1773, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64240.0,ayherre
1774, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64240.0,ayherre
1774, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,ayherre
1774, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,ayherre
1774, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,ayherre
1774, FERME IXURIBEHEREA,ÉPICERIE,Jus de pommes (1L),64240.0,ayherre
1775, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64240.0,Hasparren
1775, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64240.0,Hasparren
1775, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64240.0,Hasparren
1775, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64240.0,Hasparren
1775, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,Hasparren
1775, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,Hasparren
1775, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64240.0,Hasparren
1775, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,Hasparren
1776, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64640.0,Saint Esteben
1776, FERME ESNEKIAK,CRÈMERIE,Fromage blanc de vache nature campagne bio (500g).,64640.0,Saint Esteben
1776, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64640.0,Saint Esteben
1776, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64640.0,Saint Esteben
1776, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64640.0,Saint Esteben
1776, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64640.0,Saint Esteben
1776, FERME ESNEKIAK,CRÈMERIE,Lait de vache entier pasteurise bio (1L).,64640.0,Saint Esteben
1777, FERME ESNEKIAK,CRÈMERIE,Yaourt a la fraise bio au lait entier  (4 x 125 gr).,64250.0,CAMBO LES BAINS
1777, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64250.0,CAMBO LES BAINS
1778, FERME BIXARTEA,CRÈMERIE,Mamia (x4).,64480.0,Jatxou
1778, FERME BIXARTEA,CRÈMERIE,breuil (375g).,64480.0,Jatxou
1778, FERME BIXARTEA,ÉPICERIE,compote de pommes 750g,64480.0,Jatxou
1778, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64480.0,Jatxou
1778, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64480.0,Jatxou
1778, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année (1kg),64480.0,Jatxou
1778, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64480.0,Jatxou
1779, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64250.0,LOUHOSSOA
1779, FERME ESNEKIAK,CRÈMERIE,Lait de vache demi-ecreme pasteurise bio (1L).,64250.0,LOUHOSSOA
1779, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64250.0,LOUHOSSOA
1779, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64250.0,LOUHOSSOA
1779, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64250.0,LOUHOSSOA
1779, FERME BIXARTEA,CRÈMERIE,Breuil (500g).,64250.0,LOUHOSSOA
1779, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64250.0,LOUHOSSOA
1779, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64250.0,LOUHOSSOA
1780, FERME ESNEKIAK,CRÈMERIE,Lait de vache entier pasteurise bio (1L).,64240.0,ayherre
1780, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,ayherre
1780, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64240.0,ayherre
1780, FERME ESNEKIAK,CRÈMERIE,Yaourt nature bio au lait entier (4 x125 gr).,64240.0,ayherre
1780, FERME ESNEKIAK,CRÈMERIE,Yaourt a la framboise bio  au lait entier (4 x125 gr).,64240.0,ayherre
1780, FERME BIXARTEA,CRÈMERIE,Breuil (500g).,64240.0,ayherre
1780, FERME AROZTEGIA,FRUITS & LÉGUMES,batavia ou feuille de chene,64240.0,ayherre
1780, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,ayherre
1780, FERME AROZTEGIA,FRUITS & LÉGUMES,Epinard (300g),64240.0,ayherre
1780, FERME AROZTEGIA,FRUITS & LÉGUMES,radis noir (la botte),64240.0,ayherre
1780, FERME AROZTEGIA,FRUITS & LÉGUMES,Poireaux d'HIVER (lot de 3 ou 4),64240.0,ayherre
1780, FERME AROZTEGIA,FRUITS & LÉGUMES,navet (750g),64240.0,ayherre
1780, FERME AROZTEGIA,FRUITS & LÉGUMES,Persil (la botte),64240.0,ayherre
1781, FERME AROZTEGIA,FRUITS & LÉGUMES,betterave rouge (la botte),64240.0,HASPARREN
1781, FERME AROZTEGIA,FRUITS & LÉGUMES,Mache AB (200gr),64240.0,HASPARREN
1781, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64240.0,HASPARREN
1781, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64240.0,HASPARREN
1781,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petite pintade fermière 1,250 kg (+/- 100gr) AB.",64240.0,HASPARREN
1781, FERME ESNEKIAK,CRÈMERIE,"Fromage blanc de vache nature,lisse bio (500g).",64240.0,HASPARREN
1781, FERME ESNEKIAK,CRÈMERIE,Yaourt a la myrtille bio  au lait entier (4 x 125g).,64240.0,HASPARREN
1781, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64240.0,HASPARREN
1782, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64100.0,Baiona
1782, FERME ESNEKIAK,CRÈMERIE,Creme fraiche bio  au lait cru (250ml).,64100.0,Baiona
1782, FERME BIXARTEA,CRÈMERIE,Mamia (x4).,64100.0,Baiona
1782, FERME ESNEKIAK,CRÈMERIE,Lait de vache entier pasteurise bio (1L).,64100.0,Baiona
1782, FERME BIXARTEA,FROMAGES,fromage de brebis fermier (650g environ) +6 mois d'affinage.,64100.0,Baiona
1782,FERME ITURRIETXEA,VOLAILLES & OEUFS,"Petit poulet fermier 1,250 kg (+/- 100 gr) AB.",64100.0,Baiona
1783, FERME ESNEKIAK,CRÈMERIE,Beurre doux bio au lait cru ( 250 gr).,64250.0,souraide
1783, FERME AROZTEGIA,FRUITS & LÉGUMES,"assortiment chou fleur / romanesco (0,8-1kg)",64250.0,souraide
1783, FERME AROZTEGIA,FRUITS & LÉGUMES,choux de Bruxelles (500g),64250.0,souraide
1783, FERME IXURIBEHEREA,FRUITS,Pommes Gordin Xuri (1kg),64250.0,souraide
1784,FERME ITURRIETXEA,VOLAILLES,"Poulet fermier moyen 1,6 kg (+/-100 gr) AB.",64100.0,BAYONNE
1784, FERME AROZTEGIA,FRUITS & LÉGUMES,Pomme de terre de l'année(2.5kg),64100.0,BAYONNE
1784, FERME AROZTEGIA,FRUITS & LÉGUMES,courge longue de naples (1kg),64100.0,BAYONNE
